Lot_Bin_Wafer,part,instance,temp,date,Data,ivdd18/bit,ivdd/bit,VWL,Vwl(meas),VBL,Vbl(meas),PRG_CNT,PRG_Time,Pulse1,Pulse2,Pulse3,Pulse4,Pulse5,Pulse6,vdd
P9KT98_0a_X,P0012,0,85C,230410,0xff:,190.3045,1,0x0009,1.8877,0x0010,1.1174,0x18,55,0x00000006,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,204.6475,1,0x0009,1.8877,0x0011,1.1421,0x09,20,0x00000028,0x00000013,0x00000013,0x00000012,0x00000015,0x00000014,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,181.0095,1,0x0009,1.8877,0x0011,1.1421,0x09,20,0x00000007,0x00000003,0x00000002,0x00000001,0x00000002,0x00000001,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,204.6475,1,0x0009,1.8877,0x0011,1.1421,0x0b,25,0x00000024,0x00000014,0x00000016,0x00000013,0x00000015,0x00000014,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,181.0095,1,0x0009,1.8877,0x0011,1.1421,0x0b,25,0x00000004,0x00000001,0x00000002,0x00000001,0x00000001,0x00000001,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,204.6475,1,0x0009,1.8877,0x0011,1.1421,0x0d,30,0x0000001d,0x00000015,0x00000013,0x00000015,0x00000014,0x00000012,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,181.0095,1,0x0009,1.8877,0x0011,1.1421,0x0d,30,0x00000005,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,204.6475,1,0x0009,1.8877,0x0011,1.1421,0x12,40,0x0000001e,0x00000015,0x00000015,0x00000012,0x00000015,0x00000011,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0xff:,181.0095,1,0x0009,1.8877,0x0011,1.1421,0x12,40,0x00000005,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0.8,
P9KT98_0a_X,P0012,0,85C,230410,0x00:,204.6475,1,0x0009,1.8877,0x0011,1.1421,0x18,55,0x00000020,0x00000015,0x00000016,0x00000013,0x00000017,0x00000016,0.8,
